,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
0,45001.0,Abbeville,South Carolina,US,2020-06-08 03:33:22,34.22333378,-82.46170658,51,0,0,51,"Abbeville, South Carolina, US",207.9341134260203,0.0
1,22001.0,Acadia,Louisiana,US,2020-06-08 03:33:22,30.295064899999996,-92.41419698,502,28,0,474,"Acadia, Louisiana, US",809.0901764848094,5.577689243027889
2,51001.0,Accomack,Virginia,US,2020-06-08 03:33:22,37.76707161,-75.63234615,983,13,0,970,"Accomack, Virginia, US",3001.609110038371,1.3402061855670102
3,16001.0,Ada,Idaho,US,2020-06-08 03:33:22,43.4526575,-116.24155159999998,838,22,0,816,"Ada, Idaho, US",174.00801931945838,2.6252983293556085
4,19001.0,Adair,Iowa,US,2020-06-08 03:33:22,41.33075609,-94.47105874,9,0,0,9,"Adair, Iowa, US",125.83892617449663,0.0
5,21001.0,Adair,Kentucky,US,2020-06-08 03:33:22,37.10459774,-85.28129668,99,19,0,80,"Adair, Kentucky, US",515.5712946568067,19.19191919191919
6,29001.0,Adair,Missouri,US,2020-06-08 03:33:22,40.19058551,-92.60078167,72,0,0,72,"Adair, Missouri, US",284.1021189283037,0.0
7,40001.0,Adair,Oklahoma,US,2020-06-08 03:33:22,35.88494195,-94.65859267,94,4,0,90,"Adair, Oklahoma, US",423.5378931242678,4.25531914893617
8,8001.0,Adams,Colorado,US,2020-06-08 03:33:22,39.87432092,-104.3362578,3575,136,0,3439,"Adams, Colorado, US",690.9267308439357,3.804195804195804
9,16003.0,Adams,Idaho,US,2020-06-08 03:33:22,44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US",69.86492780624127,0.0
10,17001.0,Adams,Illinois,US,2020-06-08 03:33:22,39.98815591,-91.18786813,46,1,0,45,"Adams, Illinois, US",70.298769771529,2.1739130434782608
11,18001.0,Adams,Indiana,US,2020-06-08 03:33:22,40.7457653,-84.93671406,22,1,0,21,"Adams, Indiana, US",61.49202001285742,4.545454545454546
12,19003.0,Adams,Iowa,US,2020-06-08 03:33:22,41.02903567,-94.69932645,7,0,0,7,"Adams, Iowa, US",194.3364797334814,0.0
13,28001.0,Adams,Mississippi,US,2020-06-08 03:33:22,31.47669768,-91.35326037,204,16,0,188,"Adams, Mississippi, US",664.6466621053661,7.84313725490196
14,31001.0,Adams,Nebraska,US,2020-06-08 03:33:22,40.52449420000001,-98.50117804,275,11,0,264,"Adams, Nebraska, US",876.8293849440422,4.0
15,39001.0,Adams,Ohio,US,2020-06-08 03:33:22,38.84541072,-83.4718964,11,1,0,10,"Adams, Ohio, US",39.714058776806986,9.090909090909092
16,42001.0,Adams,Pennsylvania,US,2020-06-08 03:33:22,39.87140411,-77.21610347,273,8,0,265,"Adams, Pennsylvania, US",265.0253861313089,2.93040293040293
